Unnamed: 0,previous_state,current_state
3857,"[[1, 6, 2], [4, 0, 7], [8, 5, 3]]","[[1, 6, 2], [4, 5, 7], [8, 0, 3]]"
3858,"[[1, 6, 3], [5, 4, 0], [7, 8, 2]]","[[1, 6, 3], [5, 0, 4], [7, 8, 2]]"
3859,"[[1, 6, 4], [5, 8, 2], [7, 3, 0]]","[[1, 6, 4], [5, 8, 2], [7, 0, 3]]"
3860,"[[1, 6, 8], [2, 4, 3], [5, 0, 7]]","[[1, 6, 8], [2, 4, 3], [0, 5, 7]]"
3861,"[[1, 0, 8], [7, 6, 4], [2, 5, 3]]","[[1, 6, 8], [7, 0, 4], [2, 5, 3]]"
3862,"[[1, 8, 3], [0, 2, 4], [5, 7, 6]]","[[1, 8, 3], [2, 0, 4], [5, 7, 6]]"
3863,"[[1, 8, 4], [7, 0, 5], [2, 3, 6]]","[[1, 8, 4], [0, 7, 5], [2, 3, 6]]"
3864,"[[1, 8, 4], [5, 2, 3], [6, 0, 7]]","[[1, 8, 4], [5, 2, 3], [6, 7, 0]]"
3865,"[[1, 8, 4], [6, 5, 3], [2, 0, 7]]","[[1, 8, 4], [6, 5, 3], [0, 2, 7]]"
3866,"[[1, 8, 4], [6, 5, 3], [2, 0, 7]]","[[1, 8, 4], [6, 5, 3], [2, 7, 0]]"
3867,"[[1, 8, 4], [7, 6, 3], [2, 0, 5]]","[[1, 8, 4], [7, 0, 3], [2, 6, 5]]"
3868,"[[1, 8, 6], [2, 3, 7], [0, 4, 5]]","[[1, 8, 6], [0, 3, 7], [2, 4, 5]]"
3869,"[[1, 8, 6], [3, 5, 7], [4, 0, 2]]","[[1, 8, 6], [3, 5, 7], [0, 4, 2]]"
3870,"[[2, 4, 6], [8, 0, 5], [7, 1, 3]]","[[2, 0, 6], [8, 4, 5], [7, 1, 3]]"
3871,"[[2, 1, 6], [4, 0, 5], [7, 8, 3]]","[[2, 1, 6], [0, 4, 5], [7, 8, 3]]"
3872,"[[2, 1, 6], [4, 0, 5], [7, 8, 3]]","[[2, 1, 6], [4, 8, 5], [7, 0, 3]]"
3873,"[[2, 0, 4], [8, 5, 1], [7, 3, 6]]","[[2, 4, 0], [8, 5, 1], [7, 3, 6]]"
3874,"[[2, 4, 6], [8, 0, 5], [7, 1, 3]]","[[2, 4, 6], [0, 8, 5], [7, 1, 3]]"
3875,"[[2, 4, 6], [1, 0, 3], [8, 5, 7]]","[[2, 4, 6], [1, 5, 3], [8, 0, 7]]"
3876,"[[2, 4, 6], [5, 8, 1], [7, 0, 3]]","[[2, 4, 6], [5, 8, 1], [7, 3, 0]]"
3877,"[[2, 4, 6], [8, 7, 3], [1, 0, 5]]","[[2, 4, 6], [8, 0, 3], [1, 7, 5]]"
3878,"[[2, 4, 6], [8, 0, 5], [7, 1, 3]]","[[2, 4, 6], [8, 1, 5], [7, 0, 3]]"
3879,"[[2, 6, 0], [5, 8, 3], [4, 1, 7]]","[[2, 6, 3], [5, 8, 0], [4, 1, 7]]"
3880,"[[2, 8, 4], [5, 6, 0], [1, 7, 3]]","[[2, 8, 0], [5, 6, 4], [1, 7, 3]]"
3881,"[[2, 8, 3], [1, 6, 4], [5, 0, 7]]","[[2, 8, 3], [1, 0, 4], [5, 6, 7]]"
3882,"[[2, 8, 3], [6, 5, 4], [1, 0, 7]]","[[2, 8, 3], [6, 5, 4], [1, 7, 0]]"
3883,"[[2, 8, 4], [5, 6, 0], [1, 7, 3]]","[[2, 8, 4], [5, 6, 3], [1, 7, 0]]"
3884,"[[3, 0, 1], [4, 8, 6], [5, 2, 7]]","[[3, 8, 1], [4, 0, 6], [5, 2, 7]]"
3885,"[[4, 2, 6], [5, 0, 7], [8, 3, 1]]","[[4, 0, 6], [5, 2, 7], [8, 3, 1]]"
3886,"[[4, 1, 6], [7, 0, 3], [8, 2, 5]]","[[4, 0, 6], [7, 1, 3], [8, 2, 5]]"
3887,"[[0, 1, 5], [4, 2, 6], [7, 8, 3]]","[[4, 1, 5], [0, 2, 6], [7, 8, 3]]"
3888,"[[4, 1, 6], [7, 0, 3], [8, 2, 5]]","[[4, 1, 6], [0, 7, 3], [8, 2, 5]]"
3889,"[[4, 1, 6], [7, 0, 3], [8, 2, 5]]","[[4, 1, 6], [7, 3, 0], [8, 2, 5]]"
3890,"[[4, 1, 8], [2, 7, 6], [5, 3, 0]]","[[4, 1, 8], [2, 7, 0], [5, 3, 6]]"
3891,"[[4, 1, 8], [3, 6, 0], [5, 2, 7]]","[[4, 1, 8], [3, 6, 7], [5, 2, 0]]"
3892,"[[4, 0, 2], [8, 6, 5], [7, 1, 3]]","[[4, 2, 0], [8, 6, 5], [7, 1, 3]]"
3893,"[[4, 2, 1], [8, 6, 3], [0, 5, 7]]","[[4, 2, 1], [0, 6, 3], [8, 5, 7]]"
3894,"[[4, 2, 1], [7, 5, 6], [8, 0, 3]]","[[4, 2, 1], [7, 5, 6], [8, 3, 0]]"
3895,"[[4, 2, 8], [3, 0, 6], [1, 5, 7]]","[[4, 2, 8], [3, 5, 6], [1, 0, 7]]"
3896,"[[4, 3, 1], [8, 2, 0], [5, 7, 6]]","[[4, 3, 0], [8, 2, 1], [5, 7, 6]]"
3897,"[[4, 3, 1], [5, 0, 6], [2, 8, 7]]","[[4, 3, 1], [0, 5, 6], [2, 8, 7]]"
3898,"[[4, 3, 1], [2, 0, 6], [8, 5, 7]]","[[4, 3, 1], [2, 6, 0], [8, 5, 7]]"
3899,"[[4, 3, 1], [8, 2, 0], [5, 7, 6]]","[[4, 3, 1], [8, 0, 2], [5, 7, 6]]"
3900,"[[4, 5, 6], [8, 0, 3], [1, 7, 2]]","[[4, 5, 6], [0, 8, 3], [1, 7, 2]]"
3901,"[[4, 5, 6], [0, 1, 2], [8, 7, 3]]","[[4, 5, 6], [1, 0, 2], [8, 7, 3]]"
3902,"[[4, 0, 6], [1, 5, 3], [7, 8, 2]]","[[4, 5, 6], [1, 0, 3], [7, 8, 2]]"
3903,"[[4, 5, 6], [7, 8, 2], [1, 0, 3]]","[[4, 5, 6], [7, 0, 2], [1, 8, 3]]"
3904,"[[4, 5, 6], [8, 2, 3], [7, 0, 1]]","[[4, 5, 6], [8, 0, 3], [7, 2, 1]]"
3905,"[[4, 5, 6], [8, 2, 3], [7, 0, 1]]","[[4, 5, 6], [8, 2, 3], [0, 7, 1]]"
3906,"[[4, 0, 6], [1, 5, 3], [7, 8, 2]]","[[4, 6, 0], [1, 5, 3], [7, 8, 2]]"
3907,"[[4, 6, 2], [0, 5, 1], [7, 8, 3]]","[[4, 6, 2], [7, 5, 1], [0, 8, 3]]"
3908,"[[4, 6, 2], [8, 5, 3], [7, 0, 1]]","[[4, 6, 2], [8, 0, 3], [7, 5, 1]]"
3909,"[[4, 6, 2], [8, 5, 3], [7, 0, 1]]","[[4, 6, 2], [8, 5, 3], [0, 7, 1]]"
3910,"[[4, 6, 3], [1, 0, 8], [5, 7, 2]]","[[4, 6, 3], [0, 1, 8], [5, 7, 2]]"
3911,"[[4, 6, 3], [1, 0, 8], [5, 7, 2]]","[[4, 6, 3], [1, 7, 8], [5, 0, 2]]"
3912,"[[4, 6, 3], [2, 1, 7], [8, 0, 5]]","[[4, 6, 3], [2, 1, 7], [0, 8, 5]]"
3913,"[[4, 6, 3], [2, 7, 0], [8, 1, 5]]","[[4, 6, 3], [2, 7, 5], [8, 1, 0]]"
3914,"[[4, 6, 3], [5, 1, 2], [8, 7, 0]]","[[4, 6, 3], [5, 1, 0], [8, 7, 2]]"
3915,"[[4, 6, 5], [1, 2, 0], [7, 8, 3]]","[[4, 6, 5], [1, 0, 2], [7, 8, 3]]"
3916,"[[5, 1, 8], [4, 0, 6], [7, 3, 2]]","[[5, 0, 8], [4, 1, 6], [7, 3, 2]]"
3917,"[[5, 1, 6], [8, 3, 0], [2, 4, 7]]","[[5, 1, 0], [8, 3, 6], [2, 4, 7]]"
3918,"[[5, 1, 4], [7, 8, 6], [2, 3, 0]]","[[5, 1, 4], [7, 8, 0], [2, 3, 6]]"
3919,"[[5, 1, 6], [2, 0, 3], [4, 8, 7]]","[[5, 1, 6], [0, 2, 3], [4, 8, 7]]"
3920,"[[5, 1, 8], [2, 0, 4], [7, 3, 6]]","[[5, 1, 8], [2, 3, 4], [7, 0, 6]]"
3921,"[[5, 1, 8], [2, 0, 4], [7, 3, 6]]","[[5, 1, 8], [2, 4, 0], [7, 3, 6]]"
3922,"[[5, 1, 8], [4, 0, 6], [7, 3, 2]]","[[5, 1, 8], [4, 6, 0], [7, 3, 2]]"
3923,"[[5, 1, 8], [6, 0, 4], [7, 2, 3]]","[[5, 1, 8], [6, 2, 4], [7, 0, 3]]"
3924,"[[5, 1, 8], [6, 0, 4], [7, 2, 3]]","[[5, 1, 8], [6, 4, 0], [7, 2, 3]]"
3925,"[[5, 0, 8], [4, 2, 6], [7, 1, 3]]","[[5, 2, 8], [4, 0, 6], [7, 1, 3]]"
3926,"[[5, 0, 4], [2, 8, 6], [7, 1, 3]]","[[5, 4, 0], [2, 8, 6], [7, 1, 3]]"
3927,"[[5, 4, 6], [2, 0, 3], [8, 1, 7]]","[[5, 4, 6], [2, 3, 0], [8, 1, 7]]"
3928,"[[5, 4, 6], [7, 1, 2], [0, 8, 3]]","[[5, 4, 6], [7, 1, 2], [8, 0, 3]]"
3929,"[[5, 6, 0], [8, 1, 2], [7, 4, 3]]","[[5, 6, 2], [8, 1, 0], [7, 4, 3]]"
3930,"[[5, 8, 2], [0, 6, 4], [7, 1, 3]]","[[5, 8, 2], [6, 0, 4], [7, 1, 3]]"
3931,"[[5, 8, 2], [0, 1, 4], [7, 3, 6]]","[[5, 8, 2], [7, 1, 4], [0, 3, 6]]"
3932,"[[5, 8, 2], [0, 6, 4], [7, 1, 3]]","[[5, 8, 2], [7, 6, 4], [0, 1, 3]]"
3933,"[[6, 0, 2], [4, 1, 3], [8, 5, 7]]","[[6, 1, 2], [4, 0, 3], [8, 5, 7]]"
3934,"[[6, 0, 2], [4, 1, 3], [8, 5, 7]]","[[6, 2, 0], [4, 1, 3], [8, 5, 7]]"
3935,"[[6, 0, 3], [4, 2, 7], [8, 1, 5]]","[[6, 3, 0], [4, 2, 7], [8, 1, 5]]"
3936,"[[6, 0, 3], [4, 8, 7], [1, 2, 5]]","[[6, 3, 0], [4, 8, 7], [1, 2, 5]]"
3937,"[[6, 3, 0], [4, 5, 2], [8, 1, 7]]","[[6, 3, 2], [4, 5, 0], [8, 1, 7]]"
3938,"[[6, 3, 2], [4, 0, 8], [1, 5, 7]]","[[6, 3, 2], [4, 5, 8], [1, 0, 7]]"
3939,"[[6, 4, 2], [1, 0, 8], [5, 7, 3]]","[[6, 4, 2], [1, 8, 0], [5, 7, 3]]"
3940,"[[6, 4, 3], [1, 0, 8], [5, 2, 7]]","[[6, 4, 3], [1, 2, 8], [5, 0, 7]]"
3941,"[[6, 4, 3], [1, 0, 8], [5, 2, 7]]","[[6, 4, 3], [1, 8, 0], [5, 2, 7]]"
3942,"[[6, 5, 3], [4, 0, 2], [8, 1, 7]]","[[6, 5, 3], [4, 1, 2], [8, 0, 7]]"
3943,"[[6, 5, 3], [4, 0, 2], [8, 1, 7]]","[[6, 5, 3], [4, 2, 0], [8, 1, 7]]"
3944,"[[6, 0, 3], [4, 8, 7], [1, 2, 5]]","[[6, 8, 3], [4, 0, 7], [1, 2, 5]]"
3945,"[[0, 4, 1], [7, 2, 6], [8, 5, 3]]","[[7, 4, 1], [0, 2, 6], [8, 5, 3]]"
3946,"[[7, 4, 6], [0, 1, 2], [8, 5, 3]]","[[7, 4, 6], [1, 0, 2], [8, 5, 3]]"
3947,"[[7, 8, 2], [0, 6, 4], [1, 5, 3]]","[[7, 8, 2], [1, 6, 4], [0, 5, 3]]"
3948,"[[8, 2, 3], [1, 4, 0], [5, 7, 6]]","[[8, 2, 0], [1, 4, 3], [5, 7, 6]]"
3949,"[[8, 2, 1], [0, 6, 4], [5, 7, 3]]","[[8, 2, 1], [5, 6, 4], [0, 7, 3]]"
3950,"[[8, 2, 3], [4, 0, 6], [1, 5, 7]]","[[8, 2, 3], [4, 5, 6], [1, 0, 7]]"
3951,"[[8, 0, 3], [1, 2, 6], [5, 4, 7]]","[[8, 3, 0], [1, 2, 6], [5, 4, 7]]"
3952,"[[8, 4, 6], [5, 3, 7], [0, 2, 1]]","[[8, 4, 6], [0, 3, 7], [5, 2, 1]]"
3953,"[[8, 5, 6], [1, 3, 0], [2, 4, 7]]","[[8, 5, 0], [1, 3, 6], [2, 4, 7]]"
3954,"[[8, 0, 2], [7, 5, 4], [1, 3, 6]]","[[8, 5, 2], [7, 0, 4], [1, 3, 6]]"
3955,"[[8, 5, 4], [7, 1, 6], [0, 2, 3]]","[[8, 5, 4], [7, 1, 6], [2, 0, 3]]"
3956,"[[8, 5, 6], [0, 1, 3], [2, 4, 7]]","[[8, 5, 6], [2, 1, 3], [0, 4, 7]]"
3957,"[[8, 5, 6], [7, 1, 2], [0, 4, 3]]","[[8, 5, 6], [7, 1, 2], [4, 0, 3]]"
3958,"[[8, 0, 6], [1, 4, 5], [7, 2, 3]]","[[8, 6, 0], [1, 4, 5], [7, 2, 3]]"
3959,"[[1, 0, 6], [2, 8, 3], [5, 7, 4]]","[[0, 1, 6], [2, 8, 3], [5, 7, 4]]"
3960,"[[4, 1, 6], [0, 2, 3], [7, 8, 5]]","[[0, 1, 6], [4, 2, 3], [7, 8, 5]]"
3961,"[[1, 0, 8], [4, 3, 2], [5, 7, 6]]","[[0, 1, 8], [4, 3, 2], [5, 7, 6]]"
3962,"[[1, 0, 8], [7, 5, 6], [4, 3, 2]]","[[0, 1, 8], [7, 5, 6], [4, 3, 2]]"
3963,"[[4, 2, 6], [0, 1, 3], [7, 5, 8]]","[[0, 2, 6], [4, 1, 3], [7, 5, 8]]"
3964,"[[1, 2, 8], [0, 3, 4], [5, 7, 6]]","[[0, 2, 8], [1, 3, 4], [5, 7, 6]]"
3965,"[[4, 3, 6], [0, 8, 7], [1, 5, 2]]","[[0, 3, 6], [4, 8, 7], [1, 5, 2]]"
3966,"[[1, 3, 8], [0, 4, 2], [5, 7, 6]]","[[0, 3, 8], [1, 4, 2], [5, 7, 6]]"
3967,"[[4, 0, 1], [2, 5, 6], [8, 7, 3]]","[[0, 4, 1], [2, 5, 6], [8, 7, 3]]"
3968,"[[4, 0, 5], [8, 6, 2], [1, 7, 3]]","[[0, 4, 5], [8, 6, 2], [1, 7, 3]]"
3969,"[[4, 0, 6], [1, 2, 7], [5, 3, 8]]","[[0, 4, 6], [1, 2, 7], [5, 3, 8]]"
3970,"[[4, 0, 6], [7, 2, 5], [8, 1, 3]]","[[0, 4, 6], [7, 2, 5], [8, 1, 3]]"
3971,"[[8, 4, 6], [0, 3, 1], [5, 7, 2]]","[[0, 4, 6], [8, 3, 1], [5, 7, 2]]"
3972,"[[1, 5, 6], [0, 4, 3], [2, 8, 7]]","[[0, 5, 6], [1, 4, 3], [2, 8, 7]]"
3973,"[[2, 5, 8], [0, 4, 6], [1, 7, 3]]","[[0, 5, 8], [2, 4, 6], [1, 7, 3]]"
3974,"[[1, 8, 6], [0, 7, 3], [4, 2, 5]]","[[0, 8, 6], [1, 7, 3], [4, 2, 5]]"
3975,"[[1, 8, 4], [2, 0, 6], [3, 5, 7]]","[[1, 0, 4], [2, 8, 6], [3, 5, 7]]"
3976,"[[1, 8, 4], [3, 0, 2], [5, 7, 6]]","[[1, 0, 4], [3, 8, 2], [5, 7, 6]]"
3977,"[[0, 1, 4], [8, 5, 6], [7, 3, 2]]","[[1, 0, 4], [8, 5, 6], [7, 3, 2]]"
3978,"[[1, 4, 6], [3, 0, 8], [5, 2, 7]]","[[1, 0, 6], [3, 4, 8], [5, 2, 7]]"
3979,"[[1, 6, 0], [5, 3, 2], [7, 8, 4]]","[[1, 0, 6], [5, 3, 2], [7, 8, 4]]"
3980,"[[1, 4, 6], [5, 0, 2], [7, 3, 8]]","[[1, 0, 6], [5, 4, 2], [7, 3, 8]]"
3981,"[[0, 1, 8], [4, 5, 6], [7, 2, 3]]","[[1, 0, 8], [4, 5, 6], [7, 2, 3]]"
3982,"[[1, 2, 8], [5, 0, 3], [7, 6, 4]]","[[1, 0, 8], [5, 2, 3], [7, 6, 4]]"
3983,"[[1, 2, 4], [5, 8, 0], [7, 6, 3]]","[[1, 2, 4], [5, 8, 3], [7, 6, 0]]"
3984,"[[1, 2, 5], [4, 6, 0], [7, 8, 3]]","[[1, 2, 5], [4, 6, 3], [7, 8, 0]]"
3985,"[[1, 2, 6], [4, 3, 7], [0, 8, 5]]","[[1, 2, 6], [0, 3, 7], [4, 8, 5]]"
3986,"[[1, 2, 6], [8, 4, 3], [5, 7, 0]]","[[1, 2, 6], [8, 4, 0], [5, 7, 3]]"
3987,"[[1, 2, 8], [5, 6, 3], [0, 7, 4]]","[[1, 2, 8], [0, 6, 3], [5, 7, 4]]"
3988,"[[1, 2, 8], [0, 3, 4], [5, 7, 6]]","[[1, 2, 8], [3, 0, 4], [5, 7, 6]]"
3989,"[[1, 2, 8], [0, 4, 7], [5, 3, 6]]","[[1, 2, 8], [5, 4, 7], [0, 3, 6]]"
3990,"[[1, 2, 8], [7, 5, 4], [3, 0, 6]]","[[1, 2, 8], [7, 0, 4], [3, 5, 6]]"
3991,"[[1, 2, 8], [7, 5, 4], [3, 0, 6]]","[[1, 2, 8], [7, 5, 4], [3, 6, 0]]"
3992,"[[1, 3, 8], [2, 6, 0], [4, 5, 7]]","[[1, 3, 8], [2, 6, 7], [4, 5, 0]]"
3993,"[[1, 3, 8], [4, 7, 2], [5, 0, 6]]","[[1, 3, 8], [4, 7, 2], [5, 6, 0]]"
3994,"[[1, 0, 4], [7, 8, 6], [5, 3, 2]]","[[1, 4, 0], [7, 8, 6], [5, 3, 2]]"
3995,"[[1, 4, 3], [5, 8, 0], [7, 6, 2]]","[[1, 4, 3], [5, 0, 8], [7, 6, 2]]"
3996,"[[1, 4, 3], [0, 6, 2], [5, 8, 7]]","[[1, 4, 3], [5, 6, 2], [0, 8, 7]]"
3997,"[[1, 4, 6], [3, 0, 8], [5, 2, 7]]","[[1, 4, 6], [0, 3, 8], [5, 2, 7]]"
3998,"[[1, 4, 6], [5, 0, 2], [7, 3, 8]]","[[1, 4, 6], [0, 5, 2], [7, 3, 8]]"
3999,"[[1, 4, 6], [3, 0, 8], [5, 2, 7]]","[[1, 4, 6], [3, 2, 8], [5, 0, 7]]"
4000,"[[1, 5, 4], [2, 0, 6], [7, 8, 3]]","[[1, 5, 4], [2, 6, 0], [7, 8, 3]]"
4001,"[[1, 5, 4], [2, 0, 6], [7, 8, 3]]","[[1, 5, 4], [2, 8, 6], [7, 0, 3]]"
4002,"[[1, 5, 6], [4, 3, 0], [2, 8, 7]]","[[1, 5, 6], [4, 3, 7], [2, 8, 0]]"
4003,"[[1, 5, 8], [2, 0, 6], [4, 7, 3]]","[[1, 5, 8], [2, 6, 0], [4, 7, 3]]"
4004,"[[1, 5, 8], [2, 0, 6], [4, 7, 3]]","[[1, 5, 8], [2, 7, 6], [4, 0, 3]]"
4005,"[[1, 0, 8], [7, 5, 6], [4, 3, 2]]","[[1, 5, 8], [7, 0, 6], [4, 3, 2]]"
4006,"[[1, 0, 6], [2, 8, 3], [5, 7, 4]]","[[1, 6, 0], [2, 8, 3], [5, 7, 4]]"
4007,"[[1, 6, 2], [5, 0, 3], [8, 4, 7]]","[[1, 6, 2], [5, 3, 0], [8, 4, 7]]"
4008,"[[1, 6, 3], [2, 4, 0], [5, 8, 7]]","[[1, 6, 3], [2, 0, 4], [5, 8, 7]]"
4009,"[[1, 6, 3], [2, 4, 0], [5, 8, 7]]","[[1, 6, 3], [2, 4, 7], [5, 8, 0]]"
4010,"[[1, 6, 3], [5, 4, 7], [8, 0, 2]]","[[1, 6, 3], [5, 4, 7], [8, 2, 0]]"
4011,"[[1, 6, 3], [5, 8, 4], [7, 2, 0]]","[[1, 6, 3], [5, 8, 4], [7, 0, 2]]"
4012,"[[1, 8, 6], [2, 4, 0], [7, 5, 3]]","[[1, 8, 0], [2, 4, 6], [7, 5, 3]]"
4013,"[[1, 0, 8], [4, 2, 7], [5, 3, 6]]","[[1, 8, 0], [4, 2, 7], [5, 3, 6]]"
4014,"[[1, 8, 0], [4, 2, 3], [5, 6, 7]]","[[1, 8, 3], [4, 2, 0], [5, 6, 7]]"
4015,"[[1, 8, 3], [5, 6, 7], [0, 4, 2]]","[[1, 8, 3], [5, 6, 7], [4, 0, 2]]"
4016,"[[1, 8, 4], [3, 6, 7], [5, 0, 2]]","[[1, 8, 4], [3, 0, 7], [5, 6, 2]]"
4017,"[[1, 8, 4], [7, 3, 6], [5, 0, 2]]","[[1, 8, 4], [7, 3, 6], [0, 5, 2]]"
4018,"[[1, 8, 4], [7, 3, 6], [5, 0, 2]]","[[1, 8, 4], [7, 3, 6], [5, 2, 0]]"
4019,"[[1, 8, 6], [2, 4, 0], [7, 5, 3]]","[[1, 8, 6], [2, 4, 3], [7, 5, 0]]"
4020,"[[0, 1, 6], [2, 8, 5], [4, 7, 3]]","[[2, 1, 6], [0, 8, 5], [4, 7, 3]]"
4021,"[[2, 1, 6], [8, 5, 3], [4, 7, 0]]","[[2, 1, 6], [8, 5, 0], [4, 7, 3]]"
4022,"[[2, 1, 8], [0, 3, 6], [4, 5, 7]]","[[2, 1, 8], [4, 3, 6], [0, 5, 7]]"
4023,"[[2, 3, 8], [4, 5, 0], [1, 7, 6]]","[[2, 3, 0], [4, 5, 8], [1, 7, 6]]"
4024,"[[2, 4, 8], [1, 6, 0], [5, 7, 3]]","[[2, 4, 0], [1, 6, 8], [5, 7, 3]]"
4025,"[[2, 4, 8], [1, 6, 0], [5, 7, 3]]","[[2, 4, 8], [1, 6, 3], [5, 7, 0]]"
4026,"[[2, 4, 8], [1, 7, 6], [5, 0, 3]]","[[2, 4, 8], [1, 7, 6], [0, 5, 3]]"
4027,"[[2, 4, 8], [0, 1, 6], [5, 7, 3]]","[[2, 4, 8], [5, 1, 6], [0, 7, 3]]"
4028,"[[2, 5, 6], [4, 0, 1], [8, 7, 3]]","[[2, 5, 6], [0, 4, 1], [8, 7, 3]]"
4029,"[[2, 5, 6], [4, 3, 7], [8, 0, 1]]","[[2, 5, 6], [4, 3, 7], [0, 8, 1]]"
4030,"[[2, 5, 6], [4, 0, 1], [8, 7, 3]]","[[2, 5, 6], [4, 7, 1], [8, 0, 3]]"
4031,"[[2, 0, 8], [1, 5, 4], [7, 3, 6]]","[[2, 5, 8], [1, 0, 4], [7, 3, 6]]"
4032,"[[2, 5, 8], [4, 7, 6], [1, 0, 3]]","[[2, 5, 8], [4, 7, 6], [0, 1, 3]]"
4033,"[[2, 5, 8], [4, 7, 6], [1, 0, 3]]","[[2, 5, 8], [4, 7, 6], [1, 3, 0]]"
4034,"[[2, 0, 6], [4, 7, 5], [8, 1, 3]]","[[2, 6, 0], [4, 7, 5], [8, 1, 3]]"
4035,"[[2, 0, 6], [4, 7, 5], [8, 1, 3]]","[[2, 7, 6], [4, 0, 5], [8, 1, 3]]"
4036,"[[2, 8, 4], [1, 0, 6], [5, 3, 7]]","[[2, 8, 4], [0, 1, 6], [5, 3, 7]]"
4037,"[[2, 8, 4], [1, 0, 6], [5, 3, 7]]","[[2, 8, 4], [1, 6, 0], [5, 3, 7]]"
4038,"[[3, 1, 4], [5, 8, 6], [0, 2, 7]]","[[3, 1, 4], [5, 8, 6], [2, 0, 7]]"
4039,"[[4, 1, 0], [5, 3, 6], [7, 2, 8]]","[[4, 0, 1], [5, 3, 6], [7, 2, 8]]"
4040,"[[4, 2, 3], [6, 0, 8], [1, 5, 7]]","[[4, 0, 3], [6, 2, 8], [1, 5, 7]]"
4041,"[[4, 1, 2], [6, 8, 0], [5, 7, 3]]","[[4, 1, 2], [6, 8, 3], [5, 7, 0]]"
4042,"[[0, 1, 3], [4, 2, 8], [5, 7, 6]]","[[4, 1, 3], [0, 2, 8], [5, 7, 6]]"
4043,"[[0, 1, 3], [4, 6, 2], [8, 5, 7]]","[[4, 1, 3], [0, 6, 2], [8, 5, 7]]"
4044,"[[4, 1, 3], [5, 6, 8], [2, 0, 7]]","[[4, 1, 3], [5, 0, 8], [2, 6, 7]]"
4045,"[[4, 1, 3], [0, 6, 7], [5, 8, 2]]","[[4, 1, 3], [6, 0, 7], [5, 8, 2]]"
4046,"[[4, 1, 3], [6, 2, 8], [5, 0, 7]]","[[4, 1, 3], [6, 2, 8], [0, 5, 7]]"
4047,"[[4, 1, 3], [6, 2, 8], [5, 0, 7]]","[[4, 1, 3], [6, 2, 8], [5, 7, 0]]"
4048,"[[4, 1, 6], [3, 0, 7], [8, 5, 2]]","[[4, 1, 6], [3, 5, 7], [8, 0, 2]]"
4049,"[[4, 1, 6], [3, 0, 7], [8, 5, 2]]","[[4, 1, 6], [3, 7, 0], [8, 5, 2]]"
4050,"[[4, 2, 6], [1, 3, 0], [7, 5, 8]]","[[4, 2, 0], [1, 3, 6], [7, 5, 8]]"
4051,"[[4, 2, 1], [5, 8, 0], [7, 3, 6]]","[[4, 2, 0], [5, 8, 1], [7, 3, 6]]"
4052,"[[4, 2, 1], [5, 8, 0], [7, 3, 6]]","[[4, 2, 1], [5, 0, 8], [7, 3, 6]]"
4053,"[[0, 2, 3], [4, 6, 7], [1, 8, 5]]","[[4, 2, 3], [0, 6, 7], [1, 8, 5]]"
4054,"[[4, 2, 6], [5, 0, 8], [7, 1, 3]]","[[4, 2, 6], [0, 5, 8], [7, 1, 3]]"
4055,"[[4, 2, 6], [5, 1, 8], [7, 3, 0]]","[[4, 2, 6], [5, 1, 0], [7, 3, 8]]"
4056,"[[4, 2, 6], [5, 0, 8], [7, 1, 3]]","[[4, 2, 6], [5, 8, 0], [7, 1, 3]]"
4057,"[[4, 2, 6], [8, 5, 1], [0, 7, 3]]","[[4, 2, 6], [8, 5, 1], [7, 0, 3]]"
4058,"[[4, 2, 8], [1, 5, 6], [0, 7, 3]]","[[4, 2, 8], [1, 5, 6], [7, 0, 3]]"
4059,"[[4, 3, 6], [8, 7, 0], [1, 5, 2]]","[[4, 3, 0], [8, 7, 6], [1, 5, 2]]"
4060,"[[4, 3, 2], [1, 8, 5], [0, 7, 6]]","[[4, 3, 2], [1, 8, 5], [7, 0, 6]]"
4061,"[[4, 3, 2], [5, 6, 0], [8, 1, 7]]","[[4, 3, 2], [5, 6, 7], [8, 1, 0]]"
4062,"[[4, 3, 6], [0, 8, 7], [1, 5, 2]]","[[4, 3, 6], [1, 8, 7], [0, 5, 2]]"
4063,"[[4, 3, 6], [8, 5, 7], [1, 0, 2]]","[[4, 3, 6], [8, 5, 7], [1, 2, 0]]"
4064,"[[4, 3, 6], [8, 7, 0], [1, 5, 2]]","[[4, 3, 6], [8, 7, 2], [1, 5, 0]]"
4065,"[[4, 5, 2], [8, 7, 0], [1, 3, 6]]","[[4, 5, 0], [8, 7, 2], [1, 3, 6]]"
4066,"[[4, 0, 1], [2, 5, 6], [8, 7, 3]]","[[4, 5, 1], [2, 0, 6], [8, 7, 3]]"
4067,"[[4, 5, 2], [8, 7, 0], [1, 3, 6]]","[[4, 5, 2], [8, 0, 7], [1, 3, 6]]"
4068,"[[4, 5, 6], [1, 0, 8], [7, 2, 3]]","[[4, 5, 6], [1, 2, 8], [7, 0, 3]]"
4069,"[[4, 5, 6], [1, 0, 8], [7, 2, 3]]","[[4, 5, 6], [1, 8, 0], [7, 2, 3]]"
4070,"[[4, 0, 6], [1, 2, 7], [5, 3, 8]]","[[4, 6, 0], [1, 2, 7], [5, 3, 8]]"
4071,"[[4, 0, 6], [7, 2, 5], [8, 1, 3]]","[[4, 6, 0], [7, 2, 5], [8, 1, 3]]"
